Index,Title,Company,Date posted,Valid until,Education requirements,Standardized Work Position,Actual Position Name,Seniority,Technology,Location,Online Interview,Accepts Students,Work from Home,Simple Work Position Names,Search Term
86,Senior Business Analyst,eWave Commerce,04-01-22,26-01-24,Bachelor,IT Analyst,Senior Business Analyst,senior,Magento,Remote,FALSE,FALSE,TRUE,Business Analyst,Business Analyst
87,"Junior Business Analyst/ Junior Technical Consultant, Career Development Program",eWave Commerce,06-01-22,26-01-24,Bachelor,IT Analyst,"Junior Business Analyst/ Junior Technical Consultant, Career Development Program",junior,Foundation,Remote,FALSE,FALSE,TRUE,Business Analyst,Business Analyst
88,QA Analyst - Automation,InvGate,07-11-23,06-02-24,Bachelor,Automation QA Engineer,QA Analyst - Automation,intermediate,"SQL, Selenium, Jenkins, REST, QA, SCRUM, Agile",Remote,FALSE,FALSE,TRUE,QA Analyst,FALSE
89,Senior C++ Developer (Capital Markets),Luxoft d.o.o.,24-11-23,24-01-24,Bachelor,C#/C++ Developer,Senior C++ Developer (Capital Markets),senior,"C++, MS SQL",Belgrade,TRUE,FALSE,FALSE,C#/C++ Developer,FALSE
90,Magento Developer,Inspiron Solutions,25-09-17,08-02-24,Bachelor,PHP Developer,Magento Developer,intermediate,"PHP, SQL, JavaScript, CSS, HTML, LAMP, Magento",Belgrade,FALSE,FALSE,FALSE,PHP Developer,FALSE
91,UX/UI Designer,Sourceter,07-11-23,06-02-24,Bachelor,UX / UI / WEB Designer,UX/UI Designer,intermediate,"Figma, Sketch, Adobe",Remote,FALSE,FALSE,TRUE,UX / UI / WEB Designer,FALSE
92,Project Research (Blockchain Research),Binance,27-10-23,26-01-24,Bachelor,IT Analyst,Project Research (Blockchain Research),intermediate,N/A,Remote,FALSE,FALSE,TRUE,Data Analyst,Data Analyst
93,Principal GTM Technical Architect,Mural,28-12-23,28-01-24,Bachelor,IT Architect,Principal GTM Technical Architect,senior,"SOAP, REST, SaaS",Remote,FALSE,FALSE,TRUE,Data Architect,FALSE
94,Senior QA Automation Developer (Cypress/Postman),Xe.com,27-10-23,26-01-24,Bachelor,Automation QA Engineer,Senior QA Automation Developer (Cypress/Postman),senior,"C#, REST, QA, SCRUM, Cloud, Agile, Cypress",Belgrade | Hybrid,FALSE,FALSE,FALSE,Automation QA Engineer,FALSE
95,Growth Product Manager,Tempo Software Inc.,02-11-23,01-02-24,Bachelor,Menadžer proizvoda,Growth Product Manager,intermediate,N/A,Remote,FALSE,FALSE,TRUE,Product Manager,FALSE
96,Technical Support Engineer,Orderly Network,20-12-23,19-02-24,Bachelor,IT Help Desk / Support,Technical Support Engineer,intermediate,"SQL, Linux, JavaScript, C++, Java, Python, WebSockets, Jira, RESTful",Remote,FALSE,FALSE,TRUE,IT Help Desk / Support,FALSE
97,"Software Engineer, Solidity",Orderly Network,20-12-23,19-02-24,Bachelor,Software Developer / Programmer / Engineer,"Software Engineer, Solidity",intermediate,N/A,Remote,FALSE,FALSE,TRUE,Software Developer,FALSE
98,Enterprise Architect,CoverGo,04-12-23,03-02-24,Bachelor,IT Architect,Enterprise Architect,senior,Cloud,Remote,FALSE,FALSE,TRUE,Data Architect,FALSE
99,Product Manager (Developer Experience),IOVLabs,30-10-23,29-01-24,Bachelor,Menadžer proizvoda,Product Manager (Developer Experience),intermediate,"SCRUM, Agile",Remote,FALSE,FALSE,TRUE,Product Manager,FALSE
